"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04610","Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","58/1395","88/9390",0.659090909090909,4.43646138807429,13.5285788222209,1.04572413708137e-27,3.58683379018909e-25,2.71888275641155e-25,"2147/7448/2244/5340/2266/2243/462/3053/735/732/1361/2155/731/5345/2158/2153/3080/2160/3078/729/3426/5054/4153/727/722/10878/629/2161/5104/5265/5624/718/725/721/720/2149/3827/717/5328/10747/3818/1675/1380/733/624/2159/710/3687/5270/728/623/3075/715/7035/716/2151/5627/1191",58
"hsa04080","Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","104/1395","370/9390",0.281081081081081,1.89200813716943,7.3122991232604,1.57197426901718e-11,2.69593587136446e-09,2.04356654972233e-09,"2147/5340/2906/183/727/64106/2904/5021/2357/27346/3352/718/257313/5734/2149/283869/3827/2563/2358/8862/5025/1813/9340/2642/1137/22953/3363/9127/5368/4828/5023/1909/1269/1902/5028/10874/6753/5732/5367/2903/10316/2925/624/1268/2568/5030/7433/2912/2900/2564/1908/9934/27334/148/53637/286530/728/553/150/153/6750/1907/552/623/2899/4852/2918/2696/7068/1903/147/7253/114131/1134/2893/6751/5697/5729/3001/2587/6755/7425/5540/2641/2847/117/2151/2902/10022/100996758/1511/3360/2562/7434/4543/152/185/7432/1128/2922/4887/2742/4142/23566",104
"hsa04976","Organismal Systems","Digestive system","hsa04976","Bile secretion","39/1395","90/9390",0.433333333333333,2.9168458781362,7.63228387353438,6.34843226408358e-11,7.25837422193556e-09,5.50197462887244e-09,"366/570/7363/10599/6580/28234/1244/115072896/10998/6822/8431/6554/64240/111/7365/64241/107/6548/6579/6513/9429/123264/1576/343/760/477/482/8671/7364/3949/5567/5244/486/6550/54575/79799/5243/3781/200931",39
"hsa04060","Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","82/1395","298/9390",0.275167785234899,1.85220466190373,6.24467532660906,7.12405037861732e-09,4.9083237608276e-07,3.72059527059818e-07,"3624/51330/3626/3576/83729/3625/5008/6372/2920/9518/1237/2658/768211/3556/23495/7066/6360/3589/3557/115650/6373/3552/4982/51561/3603/654/650/6368/3569/3553/8794/94/608/8744/2826/7850/6359/2921/653/2056/6352/9966/1441/2919/6374/655/3577/3579/285613/7042/3627/6362/4283/8771/56477/7043/4838/3604/943/90865/651/9547/10803/6351/8792/1271/1440/130399/6369/6348/268/414062/3623/9560/10344/6355/8740/27178/27177/6361/10563/10913",82
"hsa05146","Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","39/1395","103/9390",0.378640776699029,2.54870028186658,6.60139631273523,7.15499090499651e-09,4.9083237608276e-07,3.72059527059818e-07,"735/732/731/3576/383/1277/2920/2767/1282/87/2335/284217/107/1278/1281/3569/3553/7850/2921/733/2919/5567/1284/6317/7097/7042/7043/5579/1288/3918/1285/5332/23236/1287/1511/909/5582/102723407/6318",39
"hsa04974","Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","39/1395","105/9390",0.371428571428571,2.50015360983103,6.45694320178523,1.34362835301485e-08,7.68107541806825e-07,5.82238952973104e-07,"1300/1301/1361/1277/1282/206358/6547/1295/1290/80781/1278/1289/1310/85301/1281/4225/477/482/169044/1284/1299/486/4224/6550/1360/1288/340024/1285/1293/1294/1359/1303/4311/1287/340267/1280/256076/6564/11136",39
"hsa00982","Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","29/1395","73/9390",0.397260273972603,2.67403152157902,5.99755933191314,1.81092258624383e-07,8.87352067259474e-06,6.72628389176278e-06,"1571/127/2328/7363/1558/1548/316/1559/1549/7365/1555/1576/1565/2946/2949/2939/7364/27306/222/124/1564/4128/1557/54575/79799/2938/130/125/2327",29
"hsa04082",NA,NA,"hsa04082","Neuroactive ligand signaling","56/1395","199/9390",0.281407035175879,1.89420219376452,5.32559854687301,8.13913876829658e-07,3.48965574690716e-05,2.64522009969639e-05,"2906/2904/6529/2767/111/3352/6506/2563/2788/5025/1813/107/57030/1137/6507/22953/3363/9127/5368/5023/5028/2903/3359/6536/2568/63910/2786/5030/2912/5567/246213/2900/2564/9934/148/150/153/6512/2899/6539/2918/5579/43/1103/147/2893/5332/23236/2902/3360/51764/2562/5582/6532/152/1128",56
"hsa04020","Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","67/1395","254/9390",0.263779527559055,1.7755482177631,5.23401733049738,9.37747053482805e-07,3.57385821494002e-05,2.70904704339477e-05,"4233/2906/2904/5021/2767/2185/6547/5333/2149/8877/7422/491/4485/5025/107/51196/113026/22953/3363/9127/5023/1909/100130933/3706/8074/815/2903/4846/2925/3082/776/624/5159/2277/8817/2264/5567/773/80310/148/553/153/552/623/489/5155/810/4916/5579/147/255231/6263/5332/23236/2254/2902/5979/774/3360/5137/5582/102723407/2263/185/7125/1128/2321",67
"hsa04061","Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","34/1395","100/9390",0.34,2.28860215053763,5.41126165343533,1.26371735619894e-06,4.33455053176236e-05,3.28566512611724e-05,"3576/6372/2920/1237/6360/6373/6368/3569/8794/2826/6359/2921/6352/2919/6374/3577/3579/3627/6362/4283/56477/9547/10803/6351/6369/6348/414062/9560/10344/6355/8740/27178/6361/10563",34
